           0.       3.69541         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF      111.7566         INDEF      113.9538         INDEF    -0.7802438         INDEF         INDEF            0.     -1.419157         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF           1           0       INDEF       INDEF         INDEF         INDEF
    0.5769742      3.249123    0.01575599    0.08034009    0.05680902     0.4164844      0.069259      89.89147      6.214492      111.7194    0.03425257      113.9467    0.02062439    -0.7854364     0.4360613     0.5551835     0.8715435     -1.279415   0.005277836   0.005252313       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02261772    0.02485977     0.1518269    0.08679672    -0.0183209    0.02154379   -0.02601146    0.02329229          13           0          10           0   2.430689E-6            2.
    0.5827439      3.244966    0.01588092    0.08097711    0.05725947     0.4166305    0.06918471        89.888      6.206221      111.7165    0.03456664      113.9461    0.02080829    -0.7845332     0.4351906     0.5547128     0.8737143     -1.278025   0.005326587   0.005300657       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02253076    0.02483991     0.1516754    0.08664837   -0.01832595     0.0215378   -0.02612397    0.02332066          13           0          10           0   4.912267E-6            2.
    0.5885713      3.240774     0.0160103    0.08163683    0.05772596     0.4167691    0.06910656      89.88309      6.197692      111.7136    0.03488116      113.9456    0.02099265    -0.7837167     0.4343663      0.554239     0.8758904     -1.276622     0.0053771   0.005350638       3.69541       3.69541     -1.419157     -1.419157           1           1    -0.0224349    0.02481697     0.1515138    0.08649403   -0.01832178    0.02152879    -0.0262395    0.02334953          13           0          10           0   4.131900E-6            2.
     0.594457      3.236533    0.01613732    0.08228453    0.05818395     0.4168898    0.06903242      89.87836      6.189722      111.7107    0.03519946       113.945    0.02117983    -0.7828515      0.433518     0.5537679      0.878072       -1.2752   0.005426998   0.005400057       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02234816    0.02479761     0.1513542     0.0863416   -0.01831775    0.02152206   -0.02634476    0.02337679          13           0          10           0   4.225584E-6            2.
    0.6004016      3.232271    0.01626549    0.08293803    0.05864605      0.417041    0.06895393       89.8745      6.181034      111.7077    0.03552023      113.9445    0.02136731    -0.7819425     0.4326404     0.5532892      0.880259      -1.27377   0.005477478   0.005449869       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02225937    0.02477849     0.1511917    0.08618689   -0.01831612    0.02151472    -0.0264638     0.0234077          13           0          10           0   4.074611E-6            2.
    0.6064056      3.227965    0.01639513    0.08359906    0.05911347     0.4171806     0.0688744       89.8708      6.172384      111.7047    0.03584264      113.9439     0.0215561    -0.7810416     0.4317792     0.5528248     0.8824514     -1.272322    0.00552865   0.005500527       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02216234    0.02475469     0.1510282    0.08603314   -0.01831479    0.02150489   -0.02657836    0.02343499          13           0          10           0   1.766480E-6            2.
    0.6124697      3.223622     0.0165249    0.08426077    0.05958136     0.4173174     0.0687963      89.86639      6.163896      111.7017     0.0361685      113.9433    0.02174698    -0.7801598     0.4309066     0.5523311     0.8846493      -1.27086   0.005580015   0.005551389       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02207065     0.0247354     0.1508617    0.08587455   -0.01831105    0.02149732   -0.02669796    0.02346624          13           0          10           0   4.776992E-6            2.
    0.6185943      3.219241    0.01665499     0.0849241    0.06005041     0.4174529    0.06871746      89.86215       6.15536      111.6986     0.0364968      113.9427    0.02193928     -0.779242     0.4300295     0.5518561     0.8868527     -1.269384    0.00563177   0.005602596       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02197541    0.02471311      0.150697    0.08571915   -0.01831441    0.02148973   -0.02680691    0.02349237          13           0          10           0   2.508049E-6            2.
    0.6247803      3.214824    0.01678685    0.08559645    0.06052583     0.4175888    0.06863352      89.85852      6.146369      111.6955    0.03682533      113.9422    0.02213161    -0.7783498      0.429141     0.5513472     0.8890616     -1.267893   0.005684196   0.005654662       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02188184    0.02469325     0.1505151    0.08555038   -0.01831169    0.02148211   -0.02692393    0.02352231          13           0          10           0   3.566111E-6            2.
    0.6310281      3.210379    0.01691805    0.08626547    0.06099889     0.4177483    0.06833737       89.8537      6.118126      111.6924    0.03704324      113.9416    0.02225649     -0.779866     0.4274697     0.5481322     0.8912759     -1.266391    0.00573674   0.005706517       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02171088    0.02456644      0.149876    0.08472869   -0.01825442    0.02138484   -0.02696352    0.02343494          13           0          10           0   3.708060E-6            2.
    0.6373384      3.205889    0.01705025    0.08693957    0.06147556     0.4178954    0.06690745       89.8496      5.988557      111.6892    0.03664006       113.941     0.0220087    -0.7945747      0.422005      0.531108     0.8934958     -1.264871   0.005789772    0.00575914       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02118948      0.023896     0.1467452    0.08054795   -0.01789132    0.02081899   -0.02654656    0.02272727          13           0          10           0   7.028641E-6            2.
    0.6437118      3.201352    0.01718325    0.08761772    0.06195508     0.4180273    0.06555785      89.84498      5.866399       111.686    0.03626822      113.9404    0.02178042    -0.8090231     0.4171252     0.5155912     0.8957213     -1.263334   0.005843347   0.005812174       3.69541       3.69541     -1.419157     -1.419157           1           1     -0.020693    0.02327837       0.14379    0.07677754   -0.01754527    0.02029401   -0.02615944    0.02207953          13           0          10           0   3.855715E-6            2.
    0.6501489      3.196797    0.01731786    0.08830409    0.06244042     0.4182016    0.06425655      89.84001       5.74819      111.6828    0.03591454      113.9398    0.02156157    -0.8233495     0.4128143     0.5013841     0.8979522     -1.261788   0.005897628   0.005865844       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02020292    0.02270329     0.1409472    0.07333765   -0.01722251    0.01980727   -0.02579102     0.0214817          13           0          10           0   5.500491E-6            2.
    0.6566504      3.192185    0.01745299    0.08899315    0.06292766     0.4183306    0.06301557      89.83538      5.635896      111.6796    0.03558102      113.9391    0.02135662    -0.8375525      0.409106     0.4884541     0.9001887      -1.26022   0.005952387   0.005920041       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.01974921    0.02217006     0.1382252    0.07021017   -0.01690686    0.01934937   -0.02543866    0.02092692          13           0          10           0   8.219162E-6            2.
    0.6632169      3.187543    0.01758678    0.08967534    0.06341004     0.4184868    0.06181975      89.83112      5.527429      111.6762    0.03526433      113.9385    0.02116087    -0.8515589     0.4059038     0.4766597     0.9024308      -1.25864   0.006006932   0.005973906       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.01930659    0.02167097     0.1356074    0.06735376   -0.01660454    0.01892063   -0.02510057    0.02041171          13           0          10           0   1.086653E-5            2.
    0.6698491      3.182887    0.01772204    0.09036504    0.06389774     0.4186849    0.06067065      89.82672      5.422799      111.6729    0.03496683      113.9379    0.02097521    -0.8654159     0.4032911     0.4660084     0.9046785     -1.257053   0.006062193   0.006028566       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.01888525    0.02120774     0.1330979    0.06475878   -0.01631611     0.0185193   -0.02479163      0.019938          13           0          10           0   1.203674E-5            2.
    0.6765476      3.174818    0.01769561    0.09023026    0.06380243      0.413276    0.05924974      89.86714      5.346817      111.6702    0.03417147      113.9368    0.02068874    -0.8842787     0.3977343      0.449784     0.9069317     -1.254297   0.006068516   0.006034869       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.01969861     0.0203702     0.1289821    0.06065365   -0.01669305    0.01741903   -0.02496809    0.01883837          13           0          10           0   1.566187E-4            2.
    0.6833131       3.16481    0.01757935    0.08963745    0.06338325     0.4047033    0.05776184      89.97434      5.294358      111.6674    0.03316201      113.9355     0.0203708    -0.9051986     0.3903307       0.43121     0.9091906     -1.250869   0.006047696   0.006014133       3.69541       3.69541     -1.419157     -1.419157           1           1   -0.02115038    0.01954502     0.1239752      0.056001   -0.01750592    0.01619024   -0.02526383    0.01756812          13           0          10           0   4.237153E-4            2.
    0.6901462        3.1458    0.01842907    0.09397016    0.06644694     0.3797162    0.05855322     -89.95602       5.63185      111.6606    0.03258479      113.9309     0.0208564    -0.9605162     0.3746992     0.3901019     0.9114551     -1.244328   0.006379283   0.006341998       3.69541       3.69541     -1.419157     -1.419157           1           1    0.01755275    0.02207225    -0.1149636     0.0492059   -0.01340008    0.02122375  -0.004057435    0.01985735          13           0          50           2   0.006415666            2.
    0.6970477      3.139149    0.01821206    0.09286367    0.06566453     0.3797162    0.05742963     -89.94933      5.523779      111.6606    0.03227911      113.9309    0.02066074    -0.9595401     0.3709951     0.3866384     0.9137253      -1.24203   0.006317399   0.006280751       3.69541       3.69541     -1.419157     -1.419157           1           1    0.01661927    0.02107704    -0.1137003    0.04803866   -0.01290348     0.0202654  -0.005310471    0.01901214          13           0          50           2   0.005933956            2.
    0.7040181      3.132441    0.01803341    0.09195273     0.0650204     0.3797162    0.05634803     -89.94051      5.419747      111.6606    0.03198789      113.9309    0.02047435    -0.9586009     0.3682413     0.3841445      0.916001     -1.239707   0.006268709   0.006232625       3.69541       3.69541     -1.419157     -1.419157           1           1    0.01569865    0.02013505    -0.1124371    0.04700157   -0.01241051    0.01934605  -0.006547653    0.01821681          13           0          10           0   0.005462478            2.
    0.7110583      3.121853    0.01759749    0.08972993    0.06344865     0.3698419    0.05491592     -89.93678      5.390176      111.6554    0.03099327      113.9259    0.02015353     -0.967833     0.3547426     0.3665329     0.9182825     -1.236031   0.006137429   0.006102979       3.69541       3.69541     -1.419157     -1.419157           1           1    0.01656099    0.01896488    -0.1083358    0.04332808   -0.01150538    0.01798125  -0.007717177    0.01705669          13           0          10           0   0.004716287            2.
    0.7181689      3.110412    0.01742374    0.08884399    0.06282219     0.3602194    0.05366172     -89.72332      5.376037      111.6552    0.03012803      113.9244    0.01989046    -0.9843574     0.3490719      0.354619     0.9205697     -1.232045   0.006099056   0.006065032       3.69541       3.69541     -1.419157     -1.419157           1           1    0.01715846    0.01791244     -0.104729    0.04054067   -0.01168998    0.01690446  -0.005754001    0.01590168          13           0          11           0   0.004938583            2.
